DateAdded,QtrYrcompleted,Company,Suffix,Name,AcceptedFIGI,HasSOR2599,HasaDedicatedFeed,HasanOpenFIGI.comaccount,Contact Source,Address,City,State,Postal Code,Country,Region,ClientType,Division,Role,Phone #,Cell Phone #,E-mail address(es) - in order,UsingFIGI,Bloomberg Rep(s),BloombergProduct,Notes,Access 1,Access 2,Access 3,UsageofData,UseCase1,UseCase23,Competitive ID,PR Effort
11/12/2010,Q4 2010,Company 20,Mr.,Name 19,No Info Available,34569847,No,No Info Available,Business Card,Address 20,City 20,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
11/15/2010,Q4 2010,Company 21,Mr.,Name 20,No Info Available,34569847,Yes - Completed,No Info Available,No Source,Address 21,City 21,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,John Jacob,--,type any notes here,--,--,--,--,--,--,--,--
11/15/2010,Q4 2010,Company 22,Ms.,Name 21,No Info Available,34569847,Yes - Completed,No Info Available,No Source,Address 22,City 22,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,John Jacob,--,type any notes here,--,--,--,--,--,--,--,--
11/16/2010,Q4 2010,Company 23,Mr.,Name 22,Accepted,34569847,No,No Info Available,No Source,Address 23,City 23,--,12345,Israel,Middle East & Africa,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Ronald McDonald,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
11/17/2010,Q4 2010,Company 24,not available,Name 23,No Info Available,34569847,No,No Info Available,No Source,Address 24,City 24,--,12345,Spain,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
11/22/2010,Q4 2010,Company 25,Mr.,Name 24,No Info Available,34569847,No,No Info Available,No Source,Address 25,City 25,--,12345,China,Asia Pacific,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
11/22/2010,Q4 2010,Company 26,Mr.,Name 25,No Info Available,34569847,No,No Info Available,No Source,Address 26,City 26,CT,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,John Jacob,--,type any notes here,--,--,--,--,--,--,--,--
11/22/2010,Q4 2010,Company 27,Ms.,Name 26,No Info Available,34569847,No,No Info Available,No Source,Address 27,City 27,PA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
11/22/2010,Q4 2010,Company 28,not available,Name 27,No Info Available,34569847,No,No Info Available,No Source,Address 28,City 28,PA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/3/2010,Q4 2010,Company 29,Ms.,Name 28,No Info Available,34569847,No,No Info Available,No Source,Address 29,City 29,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/3/2010,Q4 2010,Company 30,not available,Name 29,No Info Available,34569847,No,No Info Available,No Source,Address 30,City 30,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/3/2010,Q4 2010,Company 31,not available,Name 30,No Info Available,34569847,No,No Info Available,No Source,Address 31,City 31,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/6/2010,Q4 2010,Company 32,Mr.,Name 31,Accepted,34569847,No,No Info Available,No Source,Address 32,City 32,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,The Queen,Data License Per-Security,type any notes here,--,--,--,--,--,--,--,--
12/6/2010,Q4 2010,Company 33,Mr.,Name 32,No Info Available,34569847,No,No Info Available,No Source,Address 33,City 33,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/6/2010,Q4 2010,Company 34,Mr.,Name 33,No Info Available,34569847,No,No Info Available,No Source,Address 34,City 34,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
12/6/2010,Q4 2010,Company 35,not available,Name 34,No Info Available,34569847,No,No Info Available,No Source,Address 35,City 35,--,12345,France,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/6/2010,Q4 2010,Company 36,Mr.,Name 35,No Info Available,34569847,No,No Info Available,No Source,Address 36,City 36,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
12/16/2010,Q4 2010,Company 37,Mr.,Name 36,No Info Available,34569847,No,No Info Available,No Source,Address 37,City 37,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
12/22/2010,Q4 2010,Company 38,Mr.,Name 37,No Info Available,34569847,No,No Info Available,No Source,Address 38,City 38,FL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
1/4/2011,Q1 2011,Company 39,Mr.,Name 38,No Info Available,34569847,No,No Info Available,No Source,Address 39,City 39,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
1/11/2011,Q1 2011,Company 40,Ms.,Name 39,Accepted,34569847,No,No Info Available,No Source,Address 40,City 40,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,The Queen,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
1/13/2011,Q1 2011,Company 41,Mr.,Name 40,Accepted,34569847,No,No Info Available,No Source,Address 41,City 41,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,John Jacob,--,type any notes here,--,--,--,--,--,--,--,--
1/20/2011,Q1 2011,Company 42,not available,Name 41,No Info Available,34569847,No,No Info Available,Business Card,Address 42,City 42,--,12345,India,Asia Pacific,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
1/24/2011,Q1 2011,Company 43,Mr.,Name 42,No Info Available,34569847,No,No Info Available,No Source,Address 43,City 43,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
2/1/2011,Q1 2011,Company 44,not available,Name 43,No Info Available,34569847,No,No Info Available,No Source,Address 44,City 44,--,12345,Netherlands,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
2/4/2011,Q1 2011,Company 45,Mr.,Name 44,No Info Available,34569847,No,No Info Available,No Source,Address 45,City 45,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
2/4/2011,Q1 2011,Company 46,Mr.,Name 45,No Info Available,34569847,No,No Info Available,No Source,Address 46,City 46,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
2/7/2011,Q1 2011,Company 47,Mr.,Name 46,Accepted,34569847,No,No Info Available,No Source,Address 47,City 47,NY,12345,United States of America (USA),North America,Exchange,--,not available,7701234567,4041234567,abcde@email.com,Yes,John Jacob,--,type any notes here,--,--,--,--,--,--,--,--
2/7/2011,Q1 2011,Company 48,Mr.,Name 47,No Info Available,34569847,No,No Info Available,No Source,Address 48,City 48,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
2/15/2011,Q1 2011,Company 49,not available,Name 48,No Info Available,34569847,No,No Info Available,No Source,Address 49,City 49,NJ,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
2/15/2011,Q1 2011,Company 50,Mr.,Name 49,No Info Available,34569847,No,No Info Available,No Source,Address 50,City 50,NJ,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
2/24/2011,Q1 2011,Company 51,not available,Name 50,No Info Available,34569847,No,No Info Available,No Source,Address 51,City 51,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
2/24/2011,Q1 2011,Company 52,Mr.,Name 51,No Info Available,34569847,No,No Info Available,No Source,Address 52,City 52,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
3/1/2011,Q1 2011,Company 53,Ms.,Name 52,No Info Available,34569847,No,No Info Available,No Source,Address 53,City 53,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
3/4/2011,Q1 2011,Company 54,Mr.,Name 53,No Info Available,34569847,No,No Info Available,Business Card,Address 54,City 54,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
3/7/2011,Q1 2011,Company 55,not available,Name 54,No Info Available,34569847,No,No Info Available,No Source,Address 55,City 55,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
3/10/2011,Q1 2011,Company 56,Mr.,Name 55,No Info Available,34569847,No,No Info Available,No Source,Address 56,City 56,--,12345,United Kingdom (UK),Western Europe,Exchange,--,not available,7701234567,4041234567,abcde@email.com,No,Ronald McDonald,--,type any notes here,--,--,--,--,--,--,--,--
3/11/2011,Q1 2011,Company 57,not available,Name 56,No Info Available,34569847,No,No Info Available,No Source,Address 57,City 57,--,12345,Poland,Eastern Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
3/11/2011,Q1 2011,Company 58,not available,Name 57,No Info Available,34569847,No,No Info Available,No Source,Address 58,City 58,--,12345,France,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
3/16/2011,Q1 2011,Company 59,not available,Name 58,No Info Available,34569847,No,No Info Available,No Source,Address 59,City 59,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
3/23/2011,Q1 2011,Company 60,Ms.,Name 59,Accepted,34569847,No,No Info Available,No Source,Address 60,City 60,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Leslie Knope,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
3/25/2011,Q1 2011,Company 61,not available,Name 60,No Info Available,34569847,No,No Info Available,No Source,Address 61,City 61,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,Russell Westbrook,--,type any notes here,--,--,--,--,--,--,--,--
3/28/2011,Q1 2011,Company 62,not available,Name 61,No Info Available,34569847,No,No Info Available,No Source,Address 62,City 62,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
3/31/2011,Q1 2011,Company 63,Mr.,Name 62,No Info Available,34569847,No,No Info Available,No Source,Address 63,City 63,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,Russell Westbrook,--,type any notes here,--,--,--,--,--,--,--,--
4/1/2011,Q2 2011,Company 64,Mr.,Name 63,No Info Available,34569847,No,No Info Available,No Source,Address 64,City 64,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
4/6/2011,Q2 2011,Company 65,Mr.,Name 64,No Info Available,34569847,No,No Info Available,No Source,Address 65,City 65,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
4/8/2011,Q1 2011,Company 66,Ms.,Name 65,No Info Available,34569847,No,No Info Available,No Source,Address 66,City 66,--,12345,Germany,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
4/8/2011,Q1 2011,Company 67,Mr.,Name 66,Accepted,34569847,No,No Info Available,No Source,Address 67,City 67,NJ,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
4/13/2011,Q2 2011,Company 67a,Mr.,Name 67,No Info Available,34569847,No,No Info Available,No Source,Address 68,City 68,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
4/27/2011,Q2 2011,Company 67b,Mr.,Name 68,No Info Available,34569847,No,No Info Available,No Source,Address 69,City 69,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
4/27/2011,Q2 2011,Company 67c,not available,Name 69,No Info Available,34569847,No,No Info Available,No Source,Address 70,City 70,NJ,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
4/27/2011,Q1 2011,Company 68c,Ms.,Name 70,No Info Available,34569847,No,No Info Available,No Source,Address 71,City 71,ON,12345,Canada,North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
4/27/2011,Q2 2011,Company 69c,Mr.,Name 71,No Info Available,34569847,No,No Info Available,No Source,Address 72,City 72,ON,12345,Canada,North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
5/6/2011,Q1 2011,Company 73,not available,Name 72,No Info Available,34569847,No,No Info Available,No Source,Address 73,City 73,CT,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
5/13/2011,Q2 2011,Company 74,Mr.,Name 73,No Info Available,34569847,No,No Info Available,No Source,Address 74,City 74,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
5/13/2011,Q2 2011,Company 75,Mr.,Name 74,No Info Available,34569847,No,No Info Available,No Source,Address 75,City 75,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
5/23/2011,Q2 2011,Company 76,Ms.,Name 75,Accepted,34569847,No,No Info Available,No Source,Address 76,City 76,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Dennis Reynolds,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
5/27/2011,Q2 2011,Company 77,not available,Name 76,Accepted,34569847,No,No Info Available,No Source,Address 77,City 77,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Mickey Mouse,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
5/27/2011,Q2 2011,Company 78,Mr.,Name 77,No Info Available,34569847,No,No Info Available,No Source,Address 78,City 78,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
5/31/2011,Q2 2011,Company 79,Mr.,Name 78,Accepted,34569847,No,No Info Available,No Source,Address 79,City 79,--,12345,Singapore,Asia Pacific,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Ronald McDonald,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
6/7/2011,Q1 2012,Company 80,Ms.,Name 79,Accepted,34569847,No,No Info Available,No Source,Address 80,City 80,--,12345,United Kingdom (UK),Western Europe,--,--,Risk Manager,7701234567,4041234567,abcde@email.com,Yes,Ronald McDonald,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
6/7/2011,Q2 2011,Company 81,Mr.,Name 80,Accepted,34569847,No,No Info Available,No Source,Address 81,City 81,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Dennis Reynolds,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
6/7/2011,Q2 2011,Company 82,Mr.,Name 81,Accepted,34569847,No,No Info Available,No Source,Address 82,City 82,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
6/10/2011,Q2 2011,Company 83,Ms.,Name 82,No Info Available,34569847,No,No Info Available,No Source,Address 83,City 83,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
7/5/2011,Q2 2015,Company 84,not available,Name 83,Accepted,34569847,No,No Info Available,No Source,Address 84,City 84,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Leslie Knope,Data License Per-Security,type any notes here,--,--,--,--,--,--,--,--
7/13/2011,Q3 2011,Company 85,Mr.,Name 84,Accepted,34569847,No,No Info Available,No Source,Address 85,City 85,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,The Queen,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
7/19/2011,Q3 2011,Company 86,not available,Name 85,No Info Available,34569847,No,No Info Available,No Source,Address 86,City 86,--,12345,Japan,Asia Pacific,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
7/22/2011,Q3 2011,Company 87,Mr.,Name 86,No Info Available,34569847,No,No Info Available,No Source,Address 87,City 87,--,12345,South Africa,Middle East & Africa,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
7/27/2011,Q3 2011,Company 88,Ms.,Name 87,No Info Available,34569847,No,No Info Available,No Source,Address 88,City 88,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
8/2/2011,Q3 2011,Company 89,Mr.,Name 88,No Info Available,34569847,No,No Info Available,No Source,Address 89,City 89,--,12345,South Africa,Middle East & Africa,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
8/18/2011,Q3 2011,Company 90,Mr.,Name 89,Accepted,34569847,No,No Info Available,No Source,Address 90,City 90,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Leslie Knope,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
9/9/2011,Q3 2011,Company 91,Mr.,Name 90,No Info Available,34569847,No,No Info Available,No Source,Address 91,City 91,NJ,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
9/12/2011,Q3 2011,Company 92,Mr.,Name 91,No Info Available,34569847,No,No Info Available,No Source,Address 92,City 92,NJ,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
9/26/2011,Q3 2011,Company 93,Ms.,Name 92,Accepted,34569847,No,No Info Available,No Source,Address 93,City 93,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Russell Westbrook,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
11/4/2011,Q4 2011,Company 94,Mr.,Name 93,No Info Available,34569847,No,No Info Available,No Source,Address 94,City 94,ON,12345,Canada,North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
11/8/2011,Q4 2011,Company 95,Mr.,Name 94,No Info Available,34569847,No,No Info Available,No Source,Address 95,City 95,--,12345,Indonesia,Asia Pacific,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
12/12/2011,Q4 2011,Company 96,not available,Name 95,No Info Available,34569847,No,No Info Available,No Source,Address 96,City 96,--,12345,Switzerland,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
1/12/2012,Q1 2012,Company 97,Ms.,Name 96,Accepted,34569847,No,No Info Available,No Source,Address 97,City 97,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Dennis Reynolds,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
1/13/2012,Q1 2012,Company 98,Mr.,Name 97,No Info Available,34569847,No,No Info Available,No Source,Address 98,City 98,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
1/23/2012,Q1 2012,Company 99,Mr.,Name 98,No Info Available,34569847,No,No Info Available,No Source,Address 99,City 99,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
